From,To,n0_ij,Reactance,barf_ij,Cost
1,7,1,0.0616,270,4349
1,2,2,0.1065,270,7076
4,9,1,0.0924,270,6217
5,9,1,0.1173,270,7732
5,8,1,0.1132,270,7480
7,8,1,0.1023,270,6823
4,5,2,0.0566,270,4046
2,5,2,0.0324,270,2581
8,13,1,0.1348,240,8793
9,14,2,0.1756,220,11267
12,14,2,0.074,270,5106
14,18,2,0.1514,240,9803
13,18,1,0.1805,220,11570
13,20,1,0.1073,270,7126
18,20,1,0.1997,200,12732
19,21,1,0.0278,1500,32632
16,17,1,0.0078,2000,10505
17,19,1,0.0061,2000,8715
14,26,1,0.1614,220,10409
14,22,1,0.084,270,5712
22,26,1,0.079,270,5409
20,23,2,0.0932,270,6268
23,24,2,0.0774,270,5308
26,27,2,0.0832,270,5662
24,34,1,0.1647,220,10611
24,33,1,0.1448,240,9399
33,34,1,0.1265,270,8288
27,36,1,0.0915,270,6167
27,38,2,0.208,200,13237
36,37,1,0.1057,270,7025
34,35,2,0.0491,270,3591
35,38,1,0.198,200,12631
37,39,1,0.0283,270,2329
37,40,1,0.1281,270,8389
37,42,1,0.2105,200,13388
39,42,3,0.203,200,12934
40,42,1,0.0932,270,6268
38,42,3,0.0907,270,6116
32,43,1,0.0309,1400,35957
42,44,1,0.1206,270,7934
44,45,1,0.1864,200,11924
19,32,1,0.0195,1800,23423
46,19,1,0.0222,1800,26365
46,16,1,0.0203,1800,24319
18,19,1,0.0125,600,8178
20,21,1,0.0125,600,8178
42,43,1,0.0125,600,8178
2,4,0,0.0882,270,5965
14,15,0,0.0374,270,2884
46,10,0,0.0081,2000,10889
4,11,0,0.2246,240,14247
5,11,0,0.0915,270,6167
46,6,0,0.0128,2000,16005
46,3,0,0.0203,1800,24319
16,28,0,0.0222,1800,26365
16,32,0,0.0311,1400,36213
17,32,0,0.0232,1700,27516
19,25,0,0.0325,1400,37748
21,25,0,0.0174,2000,21121
25,32,0,0.0319,1400,37109
31,32,0,0.0046,2000,7052
28,31,0,0.0053,2000,7819
28,30,0,0.0058,2000,8331
27,29,0,0.0998,270,6672
26,29,0,0.0541,270,3894
28,41,0,0.0339,1300,39283
28,43,0,0.0406,1200,46701
31,41,0,0.0278,1500,32632
32,41,0,0.0309,1400,35957
41,43,0,0.0139,2000,17284
40,45,0,0.2205,180,13994
15,16,0,0.0125,600,8178
46,11,0,0.0125,600,8178
24,25,0,0.0125,600,8178
29,30,0,0.0125,600,8178
40,41,0,0.0125,600,8178
2,3,0,0.0125,600,8178
5,6,0,0.0125,600,8178
9,10,0,0.0125,600,8178
